"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"97402","EUGENE, OR",,"G",24867,"G",215541,"G",929764,1845,"EUGENE","OR","LANE"
"97403","EUGENE, OR",,"G",3251,"G",24865,"G",109342,245,"EUGENE","OR","LANE"
"97404","EUGENE, OR",,"G",3848,"G",22678,"G",100046,462,"EUGENE","OR","LANE"
"97405","EUGENE, OR",,"G",6184,"G",39708,"G",172902,792,"EUGENE","OR","LANE"
"97406","AGNESS, OR",,"G",127,"G",682,"G",2857,6,"AGNESS","OR","CURRY"
"97407","ALLEGANY, OR","A","D",0,"D",0,"D",0,1,"ALLEGANY","OR","COOS"
"97408","EUGENE, OR",,"G",5853,"G",51210,"G",208571,318,"EUGENE","OR","LANE"
"97409","ALVADORE, OR",,"G",5,"G",17,"G",61,4,"ALVADORE","OR","LANE"
"97410","AZALEA, OR","B","D",0,"D",0,"D",0,9,"AZALEA","OR","DOUGLAS"
"97411","BANDON, OR",,"G",1942,"G",11443,"G",52143,216,"BANDON","OR","COOS"
"97412","BLACHLY, OR",,"H",45,"G",280,"G",1274,9,"BLACHLY","OR","LANE"
"97413","BLUE RIVER, OR",,"G",89,"G",434,"G",2362,28,"BLUE RIVER","OR","LANE"
"97414","BROADBENT, OR","B","D",0,"D",0,"D",0,3,"BROADBENT","OR","COOS"
"97415","BROOKINGS, OR",,"G",3235,"G",22412,"G",99933,404,"BROOKINGS","OR","CURRY"
"97416","CAMAS VALLEY, OR",,"G",67,"G",392,"G",2342,13,"CAMAS VALLEY","OR","DOUGLAS"
"97417","CANYONVILLE, OR",,"G",1137,"G",7874,"G",31432,54,"CANYONVILLE","OR","DOUGLAS"
"97419","CHESHIRE, OR","B","S",0,"H",530,"H",2134,22,"CHESHIRE","OR","LANE"
"97420","COOS BAY, OR",,"G",9191,"G",75316,"G",308865,668,"COOS BAY","OR","COOS"
"97423","COQUILLE, OR",,"G",1345,"G",12155,"G",50980,160,"COQUILLE","OR","COOS"
"97424","COTTAGE GROVE, OR",,"G",3129,"G",21558,"G",87332,404,"COTTAGE GROVE","OR","LANE"
"97426","CRESWELL, OR",,"G",1046,"G",5181,"G",22973,171,"CRESWELL","OR","LANE"
"97429","DAYS CREEK, OR","C","S",0,"S",0,"H",855,7,"DAYS CREEK","OR","DOUGLAS"
"97430","DEADWOOD, OR","A","D",0,"D",0,"D",0,5,"DEADWOOD","OR","LANE"
"97431","DEXTER, OR",,"G",129,"G",589,"G",2710,37,"DEXTER","OR","LANE"
"97432","DILLARD, OR","G","D",0,"D",0,"D",0,16,"DILLARD","OR","DOUGLAS"
"97434","DORENA, OR",,"G",31,"G",175,"G",971,9,"DORENA","OR","LANE"
"97435","DRAIN, OR",,"H",288,"G",1613,"G",7526,51,"DRAIN","OR","DOUGLAS"
"97436","ELKTON, OR",,"G",89,"G",631,"G",2664,25,"ELKTON","OR","DOUGLAS"
"97437","ELMIRA, OR",,"H",167,"G",897,"G",4160,40,"ELMIRA","OR","LANE"
"97438","FALL CREEK, OR",,"G",259,"G",1796,"G",8801,20,"FALL CREEK","OR","LANE"
"97439","FLORENCE, OR",,"G",3781,"G",26587,"G",111034,406,"FLORENCE","OR","LANE"
"97440","EUGENE, OR",,"G",743,"G",8342,"G",36747,32,"EUGENE","OR","LANE"
"97441","GARDINER, OR","B","D",0,"D",0,"D",0,2,"GARDINER","OR","DOUGLAS"
"97442","GLENDALE, OR",,"G",351,"G",3235,"G",14210,31,"GLENDALE","OR","DOUGLAS"
"97443","GLIDE, OR",,"G",104,"G",635,"G",2857,31,"GLIDE","OR","DOUGLAS"
"97444","GOLD BEACH, OR",,"G",1070,"G",7696,"G",34737,185,"GOLD BEACH","OR","CURRY"
"97446","HARRISBURG, OR",,"G",1278,"H",11107,"H",50097,100,"HARRISBURG","OR","LINN"
"97447","IDLEYLD PARK, OR","C","D",0,"D",0,"D",0,16,"IDLEYLD PARK","OR","DOUGLAS"
"97448","JUNCTION CITY, OR",,"G",2111,"G",13386,"G",61839,290,"JUNCTION CITY","OR","LANE"
"97449","LAKESIDE, OR","C","S",0,"H",599,"H",2445,22,"LAKESIDE","OR","COOS"
"97450","LANGLOIS, OR","B","S",0,"H",93,"H",496,13,"LANGLOIS","OR","CURRY"
"97451","LORANE, OR",,"G",22,"G",85,"G",433,5,"LORANE","OR","LANE"
"97452","LOWELL, OR",,"H",92,"G",549,"H",2683,20,"LOWELL","OR","LANE"
"97453","MAPLETON, OR",,"H",51,"H",393,"H",2781,12,"MAPLETON","OR","LANE"
"97454","MARCOLA, OR",,"G",52,"G",444,"G",1690,10,"MARCOLA","OR","LANE"
"97455","PLEASANT HILL, OR",,"G",283,"G",1526,"G",7040,62,"PLEASANT HILL","OR","LANE"
"97456","MONROE, OR",,"G",289,"G",1915,"G",8294,55,"MONROE","OR","BENTON"
"97457","MYRTLE CREEK, OR",,"G",1057,"G",6815,"G",30644,152,"MYRTLE CREEK","OR","DOUGLAS"
"97458","MYRTLE POINT, OR",,"G",496,"G",3162,"G",13357,107,"MYRTLE POINT","OR","COOS"
"97459","NORTH BEND, OR",,"G",4444,"G",28066,"G",116814,393,"NORTH BEND","OR","COOS"
"97461","NOTI, OR",,"G",283,"G",2694,"G",12378,14,"NOTI","OR","LANE"
"97462","OAKLAND, OR",,"G",253,"G",1146,"G",5542,64,"OAKLAND","OR","DOUGLAS"
"97463","OAKRIDGE, OR",,"G",370,"G",1721,"G",7670,61,"OAKRIDGE","OR","LANE"
"97464","OPHIR, OR","A","D",0,"D",0,"D",0,2,"OPHIR","OR","CURRY"
"97465","PORT ORFORD, OR",,"G",271,"G",1996,"G",8472,52,"PORT ORFORD","OR","CURRY"
"97466","POWERS, OR","B","S",0,"H",307,"G",1629,12,"POWERS","OR","COOS"
"97467","REEDSPORT, OR",,"H",1065,"H",7350,"H",32689,162,"REEDSPORT","OR","DOUGLAS"
"97469","RIDDLE, OR",,"H",990,"H",10098,"H",42261,33,"RIDDLE","OR","DOUGLAS"
"97470","ROSEBURG, OR",,"G",13927,"G",129387,"G",482328,1154,"ROSEBURG","OR","DOUGLAS"
"97471","ROSEBURG, OR",,"G",3845,"G",29163,"G",133309,327,"ROSEBURG","OR","DOUGLAS"
"97473","SCOTTSBURG, OR",,"G",14,"G",63,"G",293,3,"SCOTTSBURG","OR","DOUGLAS"
"97475","SPRINGFIELD, OR","A","D",0,"D",0,"D",0,2,"SPRINGFIELD","OR","LANE"
"97476","SIXES, OR","B","S",0,"H",95,"H",362,6,"SIXES","OR","CURRY"
